symbol,Patient.1_CL.1,Patient.1_SC.1,Patient.10_CL.1,Patient.10_CL.2,Patient.10_SC.1,Patient.2_CL.1,Patient.2_SC.1,Patient.3_CL.1,Patient.3_SC.1,Patient.4_CL.1,Patient.4_CL.2,Patient.4_CL.3,Patient.4_SC.1,Patient.4_SC.1.1,Patient.5_CL.1,Patient.5_SC.1,Patient.5_SC.2,Patient.6_CL.1,Patient.6_SC.1,Patient.7_CL.1,Patient.7_SC.1,Patient.7_SC.2,Patient.8_CL.1,Patient.8_CL.2,Patient.8_SC.1,Patient.8_SC.2,Patient.8_SC.3,Patient.9_CL.1,Patient.9_SC.1,total
TUBA4A,141,5,0,69,8,12,300,181,5,0,370,4,0,886,36,12,2,11,7,24,28366,46229,2,353,29951,4,2,20271,12888,140139
ATP5B,4380,23,4432,5390,2900,34,87,6504,3456,8173,13616,5869,35,7513,24,122,28,27,2,1,1,0,19287,17645,32,10062,29424,40,5,139112
VDAC3,1,4,263,1980,1252,19,1,1180,641,2829,133,9,7,1235,14,4,9,7,4,3,6091,13055,16,6406,11204,19261,19408,37797,16036,138869
ECM1,9,0,325,4064,312,2,0,506,2,767,0,0,5,533,0,0,0,0,0,0,0,0,92761,37673,3,3,1705,1,0,138671
MYL6,4930,29,8552,6534,1105,29,67,7322,2814,9820,10943,20822,34,5998,69,112,31,16,4,13,837,9,21473,17524,51,11270,5705,38,2122,138273
CLIC1,2270,13,6341,3378,1872,2,8,2531,12,1019,844,3690,0,219,10,2,3,20,7,46,5931,54737,141,1735,11049,19564,4350,11730,6657,138181
DAB2,0,12,0,1,0,11,8,17,5,0,1,0,3,0,1,3,10,8,13,1380,27947,2026,7,413,86341,1882,1,7244,8927,136261
GPX4,1909,8,872,725,431,8,2,2154,671,4448,7745,3234,19,1433,1,149,4,23,8,4954,5836,52457,26,4823,3433,10972,21225,766,7342,135678
POLR3H,2111,126847,65,182,182,1,4,936,183,417,590,1391,1,691,0,0,1,6,2,2,1,3,2,1133,3,682,0,3,0,135439
ACO2,2111,126847,65,24,152,1,4,755,178,401,519,1869,1,137,0,0,1,6,2,2,1,3,2,973,0,95,0,2,0,134151
RAB11A,4820,32,3139,938,958,16,9,703,579,929,4240,644,13,326,8,7,12,1783,21,14,11069,163,12,1527,91448,131,4,12,8894,132451
GNG11,108,16,7,1454,1,16,16,4,455,6,1,11,5,0,1,10,10,1479,14,28879,4481,18893,18,244,29881,160,5,25939,19314,131428
EIF1,2547,22,12872,8076,3499,19,5975,25422,4744,5734,7101,10240,29,8154,34,1352,14,61,16,42,390,401,1518,3165,13633,942,6873,35,8315,131225
CAPNS1,2382,21,3521,2756,1345,6,2,9936,1347,7767,6356,3953,37,3470,9,2,2,68,7,2,212,5,37691,8037,95,36189,1144,3059,1101,130522
MGEA5,2,8,1670,1761,523,57,9,3106,706,2190,1257,477,192,1896,5,53377,38,6,12,1,14206,1162,4262,1163,1549,0,28,16495,22743,128901
MACF1,0,6,687,1,36,2,6,83,5,214,2050,2584,2,111,87,980,15,8,10,93111,6980,46,3,571,19839,6,1,0,1048,128492
PCBP1,5322,38,6358,8450,4322,39,128,3277,2352,3419,6047,5183,15,4484,21,314,13,87,14,10,3129,30,1257,4290,15727,11145,17062,20898,4954,128385
EIF4G2,133,13,4391,3546,3411,34,22,4358,475,7960,5011,3671,42,2082,17,6328,16,30,22,14,17732,44960,826,2690,2072,13,6579,1671,8600,126719
C5orf45,348,6,472,814,446,7,5000,2954,3266,4299,9403,4980,26,2431,95,8941,4,57,11,1,11065,605,32605,6108,16063,27,3274,6867,5150,125325
PPP1R12A,1,6,51,526,675,20,9,82,13,541,1,1233,3,727,1,6,4,10,9,19,1006,58571,11031,951,35470,1,2,6089,8171,125229
PHB,194,0,134,969,335,0,0,789,4,4519,382,21,19,3,0,1,0,0,0,0,0,0,17036,36907,98,37139,26255,0,0,124805
ANXA2,2976,5548,18461,10732,5074,2,3,8105,392,5314,5122,4996,15,1950,20,0,0,5,5,1,5,3,15070,9489,41,9451,20529,9,1,123319
RPS11,13449,82,6765,3518,3245,20,6459,9407,2002,7474,2636,3194,5653,1628,22,8259,17,48,6,1,7,4,13034,14168,90,13428,6401,86,1949,123052
H3F3A,15494,1406,1951,3932,2237,12,48,2644,637,3080,575,2561,19,1437,7,14856,8,9287,42,11,10759,13776,988,3131,15153,9069,54,5292,3904,122370
STRADB,343,8,28,267,1258,11,4290,536,2176,793,35,2039,8,6248,7,4,6,14,6,15,294,95961,0,336,20,1897,0,20,5618,122238
EIF2AK1,4536,29,2165,1651,1772,16,2023,2059,3619,598,830,2790,6,4152,7,3,16,47,17,7,10396,2012,293,992,47226,3770,8081,15208,6461,120782
ITM2B,1582,26,965,1894,829,33,19,14,1452,2084,1728,1205,20,1095,10,4,16,18,16,5,13290,15933,5543,1191,5339,1400,304,40627,23571,120213
TUBB,8029,83,925,4097,4835,2,6203,2507,345,2932,7307,5175,12,2156,4,1,4,3,3,3,43,5,42209,8717,34,18229,5778,162,1,119804
YWHAB,2020,13,3621,3244,1321,20,0,2675,1336,8320,4242,6905,30891,2442,14,4,12,1,1,1,1,3,25661,8404,689,7220,9235,21,1336,119653
CNST,1,12,0,1,255,10,10,801,11,3,2,5,9,1,4,2,7,15,14,316,24146,811,11,70,51442,0,0,35724,5835,119518
RPL19,6830,34,7902,5004,6226,39,5192,19458,1114,14597,12938,7514,65,2417,27,14,16,114,23,12,407,13,4579,6802,43,17795,85,23,170,119453
HIST1H2AC,27,8,0,0,131,29,8,113,8,1,27,19,13,2,0,3633,16,11,10,491,15921,16719,1,107,24291,5,1103,22075,33650,118419
NLRC5,0,4,7,2,2,3,11,16,303,2,1,40,4,543,201,9009,0,14,8,71997,1207,4392,13822,519,10583,0,1,21,3748,116460
HIST1H4H,1,6,0,0,0,3,2,55,1,1,2655,3,0,2,4,1081,2,80866,300,9,8,2,2,737,7,1150,23937,1,4879,115714
CLK1,1,15,32,2,868,8,5310,3418,469,38,622,2299,2,906,7,13,15,26,27,53,9598,66011,5,370,16168,4,17,3,7748,114055
SERPINB6,100,4,925,142,70,3,6,463,1,3016,1868,937,10,0,5,140,6,9,4,76816,194,406,15948,3217,2,7,4807,1,4324,113431
WBP1L,2,103240,19,0,126,1,5,924,21,57,473,0,1,0,0,0,5,10,5,6,2251,1,302,762,3,821,0,0,3869,112904
AKAP9,78,5,0,28,752,10,25,955,59,1361,554,1017,9,2270,5,2,5,19,23,42,19995,71290,8,2987,1205,26,17,8,9710,112465
RPL15,2867,27,3948,3890,3019,14,4645,9699,866,6353,7085,3195,22,1223,22,3,10,52,10,14,1512,72,15778,6379,29978,5320,5458,811,97,112369
