,theta_1,theta_2,mu_1,mu_2,size_1,size_2,prob_1,prob_2,total_mean_1,total_mean_2,foldChange,norm_total_mean_1,norm_total_mean_2,norm_foldChange,chi2LR1,pvalue_LR2,pvalue_LR3,FDR_LR2,FDR_LR3,pvalue,pvalue.adj.FDR,Remark,Type,State
CACNA1D,0.909090913403438,0.690328112609079,521.000000805538,8.69406714025299,14801.4638899413,5.04048773155449,0.965997635594353,0.366993162763574,54.2727272727273,4,13.5681818181818,47.3636363636364,2.69230769230769,17.5922077922078,19.38002122146,0.00171660051692024,0.000120423532808056,0.0046574432629619,0.00042478625794555,0.000228131965884004,0.0335023363811973,NA,DEg,up
CPB1,0.818181828420989,0.755277607000058,13139.500345779,8.80118160447852,45.5290460935017,1.47609880046059,0.00345308643161363,0.14362737439286,4358.81818181818,0.384615384615385,11332.9272727273,2389,2.15384615384615,1109.17857142857,19.3387377165075,0.0147676318208041,1.0553027340876e-09,0.0273908136718731,1.86753011931233e-08,0.000232664106736058,0.0336797913365211,NA,DEg,up
AGAP11,1.21273565909868e-08,0.923076925144326,20.7272739354474,3587.9999979193,0.11175700736034,13616.9958578132,0.0053628696875135,0.791455921988856,35.4545454545455,130.076923076923,0.272565991075749,20.7272727272727,276,0.075098814229249,19.2645580346915,1.05783262105419e-06,2.1872516575705e-08,4.57716037956139e-06,2.53303041225995e-07,0.000241033903085608,0.0343999512671333,NA,DEg,down
NDUFS4,0.187251098190602,0.769230747187476,584.883817032031,50.0000027398928,0.190225052337369,191.329732803639,0.000325129878706769,0.792814579491081,367.636363636364,13.1538461538462,27.9489633173844,475.363636363636,11.5384615384615,41.1981818181818,19.0862697137879,0.000194490689246818,0.0003603223446772,0.000644212062174002,0.00111058256921055,0.000262396080597416,0.0364227326670358,NA,DEg,up
CHD9,2.57134697265939e-09,0.461191080789607,23117.3432244006,131.343800203731,0.0504170868571011,1.68054554949845,2.18091570524717e-06,0.0126333682754283,2402.90909090909,128.846153846154,18.6494436906377,23117.2727272727,70.7692307692308,326.657114624506,19.0102738292048,9.30396945042489e-08,1.00878995334952e-06,4.579297463881e-07,6.56547180382436e-06,0.000272064858432119,0.0365784862737193,NA,DEg,up
PGBD1,0.909090907664192,0.043741407012859,52056.999999999,145.354713989575,13169.9948409642,0.0669657385547544,0.201910188765792,0.000460493501931409,1149,71,16.1830985915493,4732.45454545455,139,34.0464355788097,19.0036857272854,7.84742693049623e-09,1.61364699380329e-10,4.23277308751081e-08,3.48149865101394e-09,0.000272919558795937,0.0365784862737193,NA,DEg,up
ATP13A1,0.0539425160656661,0.84615384748702,132.223341903016,44.99999999795,0.230439908728463,17115.6819992704,0.0017397759850752,0.997377726596188,298.181818181818,16.1538461538462,18.4588744588745,125.090909090909,6.92307692307692,18.0686868686869,18.9927233839671,4.1316448976092e-05,0.00532242829706076,0.000150458744826231,0.0106044586563829,0.000274347671647357,0.0365784862737193,NA,DEg,up
SSU72,0.0371109690264403,1.72384430226021e-09,178.062618705702,28094.3847720656,0.488890935244386,0.0992298021066512,0.0027380946609049,3.53200301169634e-06,508.181818181818,3309.30769230769,0.153561368549398,171.454545454545,28094.3846153846,0.00610280480607702,18.9038107381463,0,1.30612187732027e-11,0,3.34494627118605e-10,0.000286208808691346,0.0371069768308041,NA,DEg,down
BCOR,4.59702131558477e-09,1.47380437665702e-08,10.6363636437465,15687.5323668251,0.347967677730546,0.073366827908269,0.0316785489755014,4.67673838531541e-06,22.2727272727273,3491.53846153846,0.00637905826273308,10.6363636363636,15687.5384615385,0.000678013549572553,18.8927555736614,7.57172102794357e-14,3.83172563678258e-08,8.0850580467872e-13,3.94696881367321e-07,0.000287718808517079,0.0371069768308041,NA,DEg,down
GPNMB,0.709447196623966,0.613389332789111,40601.9468942491,10.3463197095513,0.23112656636239,4.2934945798041,5.6924671933584e-06,0.293275207932515,3220.54545454545,1.30769230769231,2462.77005347594,11797,4,2949.25,18.8570463425789,7.40382446162702e-05,3.75491695706609e-05,0.000260000524572186,0.000155836474502743,0.000292650607653044,0.0371069768308041,NA,DEg,up
