,mean,total,tech,bio,p.value,FDR
FAM175A,3.80354299812495,4.19886590032735,6.55710946268262,-2.35824356235527,0.935258893118797,0.999903837598123
ZRSR2,2.45822076985903,3.74105693994762,6.09965731228373,-2.35860037233611,0.948459712932346,0.999903837598123
MYEOV2,5.39096234315652,3.26413509974815,5.62318851838635,-2.35905341863819,0.961516466856862,0.999903837598123
CCDC42B,3.42585341728666,4.23260765594196,6.59205543457743,-2.35944777863547,0.934335217528108,0.999903837598123
ISCA1,3.92948607220133,4.16218170371211,6.5222322976126,-2.36005059390049,0.936423106682423,0.999903837598123
SNHG6,4.48027756800744,3.90700383050674,6.26867551005974,-2.361671679553,0.943880925815112,0.999903837598123
RBMX2,3.35213249207587,4.21988177136806,6.5855701325006,-2.36568836113254,0.935032756156966,0.999903837598123
LINC00843,2.51606573898855,3.79003464850835,6.15608624508449,-2.36605159657614,0.947411725478637,0.999903837598123
FKBP1A-SDCBP2,4.99969141989029,3.55546663572583,5.92163553764156,-2.36616890191573,0.95395675196251,0.999903837598123
EIF5B,6.39348589872469,2.49288023882112,4.85912743888676,-2.36624720006564,0.979958651659787,0.999903837598123
RPL6,5.94431157335446,2.81826202255138,5.18694249535702,-2.36868047280564,0.972893462892335,0.999903837598123
LENG1,2.76263621927835,3.9849006372892,6.35518301608668,-2.37028237879749,0.942060203129253,0.999903837598123
SF1,6.2296809944397,2.60079393709855,4.97339377067383,-2.37259983357527,0.977843295552118,0.999903837598123
ATP1A1OS,4.92478772143959,3.60265453067158,5.97532115971053,-2.37266662903895,0.952929045735464,0.999903837598123
USP32,3.42091104700067,4.21870579353781,6.59177201103105,-2.37306621749324,0.935449160952482,0.999903837598123
FAM166A,5.94605517663557,2.8102962781863,5.18559455539643,-2.37529827721013,0.973259127579958,0.999903837598123
BMP6,2.72587144330811,3.95259457313304,6.32955411770824,-2.3769595445752,0.943302897614793,0.999903837598123
LOC100127974,1.22976840666855,1.51709187450096,3.8974691629996,-2.38037728849863,0.99498377858823,0.999903837598123
NUTM2A-AS1,2.31295479974559,3.55777788595979,5.94034419004331,-2.38256630408352,0.954564803250013,0.999903837598123
MIR6852,1.73855468505483,2.67478894301308,5.05974509747936,-2.38495615446628,0.976543605143357,0.999903837598123
AKT1S1,3.96396501454492,4.12338641130338,6.5110762580826,-2.38768984677922,0.938939418228885,0.999903837598123
