,mean,total,tech,bio,p.value,FDR
TUBB4A,0.765449631870393,1.32000404903643,3.9794921318792,-2.65948808284277,0.996700809631695,0.999932012950346
SNHG5,2.29747241910154,8.0039758747011,10.6635330428952,-2.65955716819412,0.844654846977231,0.999932012950346
LRPAP1,4.34077001872731,13.1466103929871,15.8064237198652,-2.65981332687816,0.753009752583166,0.999932012950346
SAP18,7.18366598467592,12.9687443564454,15.6303407636011,-2.6615964071557,0.755581803967684,0.999932012950346
UTP18,5.88483394782099,13.9759563704357,16.6419997183558,-2.66604334792018,0.742531873574536,0.999932012950346
SCAMP1,3.66913102832709,11.9834684885889,14.6519007527133,-2.66843226412439,0.770434634894593,0.999932012950346
AGAP1,2.60444032985396,9.06686779429683,11.7360080066399,-2.66914021234304,0.82237439015726,0.999932012950346
BOLA2,1.85898651736391,6.2814854283366,8.95063204416921,-2.66914661583262,0.887270148225074,0.999932012950346
PCCB,2.79409200897534,9.67885191959529,12.3502898645908,-2.67143794499552,0.810360966866985,0.999932012950346
CYB5B,3.42466177042603,11.4263724662867,14.098127721981,-2.67175525569436,0.779443512979857,0.999932012950346
EMX2OS,1.03933903369334,2.62992423724909,5.30274918522797,-2.67282494797888,0.979759870587173,0.999932012950346
ANKRD13A,2.4752852378779,8.62066885275993,11.295831686856,-2.67516283409604,0.832136621293476,0.999932012950346
FBXW4,3.46046809637193,11.5073303982294,14.1838974318889,-2.67656703365949,0.778469944364859,0.999932012950346
EIF3IP1,0.927053172277404,2.08985401198187,4.76657085357587,-2.676716841594,0.98877299402665,0.999932012950346
HGS,3.64565354337812,11.9248554352203,14.6017282106923,-2.67687277547202,0.771916203083299,0.999932012950346
PUS1,2.52358870008457,8.78287630190224,11.4627938370327,-2.67991753513046,0.829021984060412,0.999932012950346
SNRNP70,1.86944322448119,6.31193296501674,8.99402483692112,-2.68209187190438,0.887270597506576,0.999932012950346
SAMD4B,2.2962364093324,7.97678618054577,10.6590330831775,-2.68224690263171,0.846811837559922,0.999932012950346
PTPRC,1.31463190969472,3.89485594184862,6.58043481746459,-2.68557887561597,0.951430610738754,0.999932012950346
RUVBL2,2.89905098597862,9.98634255446372,12.6723218236938,-2.6859792692301,0.805531955296012,0.999932012950346
TACC2,2.61873761080044,9.09279683574261,11.7837304474508,-2.69093361170821,0.823354636609066,0.999932012950346
PSMA2,6.23306700314301,13.8232401210594,16.5145157190754,-2.69127559801601,0.746145095113883,0.999932012950346
LOC100134713,1.39103661901539,4.23417688054077,6.92576943187246,-2.69159255133169,0.942912155460924,0.999932012950346
POLR3E,4.58015487098929,13.4088730123792,16.1017955006029,-2.6929224882237,0.751685235536733,0.999932012950346
NLN,1.80093043050255,6.01240934968432,8.70826577505939,-2.69585642537507,0.89586573993787,0.999932012950346
UBE2B,7.21591292099769,12.8942274433134,15.5903240124898,-2.69609656917638,0.758951033783061,0.999932012950346
LCMT1,2.97585515957782,10.201305415265,12.8991617509586,-2.69785633569364,0.802376418863297,0.999932012950346
NMT1,2.6168360572803,9.07797784855157,11.7773923491583,-2.69941450060673,0.824241754428448,0.999932012950346
TNIP1,5.29961153870713,13.9215519674382,16.6215513236906,-2.69999935625247,0.745461537883647,0.999932012950346
WFS1,3.33422901899191,11.1736791401372,13.8751996140355,-2.70152047389829,0.785647981416936,0.999932012950346
TMEM170A,1.62738133659827,5.26472156151962,7.96828574591986,-2.70356418440024,0.916072556708427,0.999932012950346
RAB5B,4.25621335352015,12.9818072798424,15.6885122590963,-2.70670497925388,0.758436313438431,0.999932012950346
MRPL53,1.54858339492603,4.91591100479849,7.62506876980273,-2.70915776500424,0.925656952587569,0.999932012950346
GNS,3.33793321999742,11.1735348866612,13.8845243081749,-2.7109894215137,0.786300925601638,0.999932012950346
ASNA1,3.35399907131218,11.2138462371346,13.9248437105555,-2.71099747342094,0.785631908326759,0.999932012950346
PPP1R16A,1.75643890701767,5.80619513602813,8.52074308068753,-2.71454794465939,0.902331390166282,0.999932012950346
NDUFA4,6.74565886391391,13.4184839440049,16.1332135498904,-2.71472960588549,0.753003864484377,0.999932012950346
LIX1L,0.915967148084595,1.99803715084201,4.71316030552677,-2.71512315468475,0.990399056749537,0.999932012950346
TSPO,2.79090085124782,9.6239632288779,12.3402467678908,-2.71628353901292,0.81453013018261,0.999932012950346
GLYR1,1.9632159928103,6.65993299238554,9.3784733919581,-2.71854039957256,0.88065119710967,0.999932012950346
U2AF2,2.6097049916173,9.03188636626313,11.753598993089,-2.72171262682591,0.826711406627893,0.999932012950346
SNHG6,4.94617394385749,13.7176783371287,16.4406639574372,-2.72298562030848,0.749597410765286,0.999932012950346
PPDPF,5.55943227555722,13.9432051222186,16.6668688642507,-2.72366374203206,0.746735386532653,0.999932012950346
KHDRBS1,4.23382198018758,12.9325426121071,15.6562200850252,-2.72367747291809,0.760258520751559,0.999932012950346
EWSR1,4.54307746327506,13.3358174844744,16.059967249621,-2.72414976514664,0.75473830251492,0.999932012950346
PAIP2,5.61992186921598,13.9444247051544,16.6690265037681,-2.72460179861377,0.74678106353177,0.999932012950346
AP2A1,3.09955370438318,10.5255600764668,13.2515656825956,-2.72600560612884,0.798469375120658,0.999932012950346
FAM134A,5.12482722987355,13.8189535728833,16.5477513906257,-2.72879781774246,0.748664924946603,0.999932012950346
DNM1L,5.11587654066764,13.814170088006,16.5432539902974,-2.7290839022914,0.748745388608108,0.999932012950346
TAGLN2,11.3250834127857,6.60249567941495,9.33238101006365,-2.7298853306487,0.882781941105864,0.999932012950346
RNF11,7.7167173548479,12.2258737086127,14.9567253931143,-2.73085168450165,0.771003379155694,0.999932012950346
ZFYVE16,2.51298833437078,8.69560525242145,11.4265565031037,-2.73095125068228,0.834344186798263,0.999932012950346
TPI1P3,1.29408787441841,3.75567164503176,6.48689287484639,-2.73122122981463,0.956497017056959,0.999932012950346
ERGIC1,2.57504449975325,8.90409592715203,11.6373950190024,-2.73329909185034,0.830133986098485,0.999932012950346
KLF13,2.05867897490038,7.02705788356434,9.76129793397204,-2.73424005040769,0.872560116363161,0.999932012950346
RAD17,2.45124860688354,8.47632740972154,11.2118212032248,-2.73549379350321,0.839334997636795,0.999932012950346
ECHDC2,2.66759194062675,9.20625611432347,11.9447748439377,-2.73851872961427,0.824306806409972,0.999932012950346
MYO6,5.72254519329962,13.9213758793955,16.6631246529899,-2.7417487735944,0.748192473068277,0.999932012950346
CREB1,2.33619923351248,8.06023207998168,10.8039166400711,-2.74368456008942,0.849023197343527,0.999932012950346
ASH1L,5.10757572699279,13.7951333359935,16.5389860544066,-2.74385271841319,0.749955469488154,0.999932012950346
PUM2,5.50978580562207,13.9171090768789,16.6622053057152,-2.74509622883629,0.748464658172461,0.999932012950346
THOC7,3.36415462756013,11.2017856266743,13.9502269885113,-2.74844136183694,0.788383936888416,0.999932012950346
GGNBP2,4.4501091116441,13.1976515985254,15.9481499664609,-2.75049836793557,0.758356686135933,0.999932012950346
MED25,2.59313748796709,8.94732515006674,11.6981695263487,-2.75084437628194,0.830421301996001,0.999932012950346
LITAF,6.34174080428293,13.7066471447391,16.4576358888232,-2.75098874408419,0.751572157232976,0.999932012950346
NDUFAF5,3.1452627286393,10.6261374316137,13.3780257207929,-2.7518882891792,0.798458124203281,0.999932012950346
KIF24,3.14495190684455,10.624680808718,13.3771800441974,-2.75249923547939,0.798525196402306,0.999932012950346
NOL9,2.21194019681859,7.59293296177717,10.3485599374255,-2.75562697564828,0.860454798311717,0.999932012950346
AAK1,3.22170736442056,10.8273625344619,13.5836070925624,-2.75624455810047,0.79525052032932,0.999932012950346
